source,target,type
tailwind/components/next/form/formfield/FormField.tsx,tailwind/components/next/utils.ts,Directed
tailwind/components/next/collectiontile/CollectionTile.tsx,tailwind/components/next/button/Button.tsx,Directed
tailwind/components/next/collectiontile/CollectionTile.tsx,util/selectors.ts,Directed
tailwind/components/next/collectiontile/CollectionTile.tsx,types/IExtensionContext.ts,Directed
tailwind/components/next/collectiontile/CollectionTileDemo.tsx,tailwind/components/next/collectiontile/CollectionTile.tsx,Directed
tailwind/components/next/button/ButtonDemo.tsx,tailwind/components/next/button/Button.tsx,Directed
store/LevelPersist.ts,types/IExtensionContext.ts,Directed
store/LevelPersist.ts,shared/errors.ts,Directed
store/ReduxPersistor.ts,shared/errors.ts,Directed
store/ReduxWatcher.ts,shared/errors.ts,Directed
store/reduxLogger.ts,util/util.ts,Directed
store/store.ts,reducers/index.ts,Directed
store/store.ts,types/IState.ts,Directed
store/store.ts,store/reduxSanity.ts,Directed
store/store.ts,util/fs.ts,Directed
store/store.ts,util/getVortexPath.ts,Directed
renderer/ReduxProp.ts,types/IExtensionContext.ts,Directed
renderer/ReduxProp.ts,util/storeHelper.ts,Directed
renderer/views/Dialog.tsx,actions/notifications.ts,Directed
renderer/views/Dialog.tsx,renderer/controls/Collapse.tsx,Directed
renderer/views/Dialog.tsx,types/IState.ts,Directed
renderer/views/DialogContainer.tsx,renderer/controls/ErrorBoundary.tsx,Directed
renderer/views/DialogContainer.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/views/DialogContainer.tsx,renderer/controls/ExtensionGate.tsx,Directed
renderer/views/GlobalOverlay.tsx,renderer/controls/IconBar.tsx,Directed
renderer/views/MainFooter.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/views/MainOverlay.tsx,renderer/controls/IconBar.tsx,Directed
renderer/views/MainPage.tsx,renderer/views/MainPageBody.tsx,Directed
renderer/views/MainPage.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/views/MainPageContainer.tsx,util/errorHandling.ts,Directed
renderer/views/MainPageContainer.tsx,types/IMainPage.ts,Directed
renderer/views/MainPageContainer.tsx,renderer/controls/ExtensionGate.tsx,Directed
renderer/views/MainPageContainer.tsx,renderer/controls/Icon.tsx,Directed
renderer/views/MainPageHeader.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/views/MainPageHeader.tsx,types/IExtensionContext.ts,Directed
renderer/views/MainWindow.tsx,actions/window.ts,Directed
renderer/views/MainWindow.tsx,renderer/controls/Banner.tsx,Directed
renderer/views/MainWindow.tsx,renderer/controls/DynDiv.tsx,Directed
renderer/views/MainWindow.tsx,renderer/views/DNDContainer.tsx,Directed
renderer/views/MainWindow.tsx,util/log.ts,Directed
renderer/views/Notification.tsx,renderer/controls/Dropdown.tsx,Directed
renderer/views/Notification.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/views/Notification.tsx,renderer/controls/PortalMenu.tsx,Directed
renderer/views/Notification.tsx,renderer/controls/Spinner.tsx,Directed
renderer/views/NotificationButton.tsx,actions/notificationSettings.ts,Directed
renderer/views/NotificationButton.tsx,types/IState.ts,Directed
renderer/views/OverlayContainer.tsx,renderer/controls/ExtensionGate.tsx,Directed
renderer/views/QuickLauncher.tsx,renderer/controls/TooltipControls.tsx,Directed
renderer/views/QuickLauncher.tsx,extensions/gamemode_management/types/IGameStored.ts,Directed
renderer/views/Settings.tsx,util/lazyRequire.ts,Directed
renderer/views/Settings.tsx,renderer/views/MainPage.tsx,Directed
renderer/views/Settings.tsx,renderer/controls/EmptyPlaceholder.tsx,Directed
renderer/views/Settings.tsx,types/IState.ts,Directed
renderer/views/Settings.tsx,actions/session.ts,Directed
renderer/views/Settings.tsx,util/startupSettings.ts,Directed
renderer/views/api.ts,renderer/views/MainWindow.tsx,Directed
renderer/controls/ActionContextMenu.tsx,types/IExtensionProvider.ts,Directed
renderer/controls/ActionControl.tsx,shared/errors.ts,Directed
renderer/controls/ActionControl.tsx,util/ExtensionManager.ts,Directed
renderer/controls/ActionDropdown.tsx,util/i18n.ts,Directed
renderer/controls/ActionDropdown.tsx,types/IActionDefinition.ts,Directed
renderer/controls/ActionDropdown.tsx,renderer/controls/constants.ts,Directed
renderer/controls/Banner.tsx,types/IExtensionProvider.ts,Directed
renderer/controls/Collapse.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/controls/ComponentEx.ts,util/util.ts,Directed
renderer/controls/ComponentEx.ts,types/IComponentContext.ts,Directed
renderer/controls/CopyClipboardInput.tsx,renderer/controls/TooltipControls.tsx,Directed
renderer/controls/Dashlet.tsx,util/util.ts,Directed
renderer/controls/DraggableList.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/controls/Dropzone.tsx,actions/notifications.ts,Directed
renderer/controls/Dropzone.tsx,util/util.ts,Directed
renderer/controls/Dropzone.tsx,types/IState.ts,Directed
renderer/controls/DynDiv.tsx,types/IDynDivOptions.ts,Directed
renderer/controls/EmptyPlaceholder.tsx,renderer/controls/Icon.tsx,Directed
renderer/controls/ErrorBoundary.tsx,util/errorHandling.ts,Directed
renderer/controls/ErrorBoundary.tsx,renderer/controls/Icon.tsx,Directed
renderer/controls/ErrorBoundary.tsx,util/application.ts,Directed
renderer/controls/ErrorBoundary.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/controls/ExtensionGate.tsx,util/log.ts,Directed
renderer/controls/FormFields.tsx,renderer/controls/FormFeedback.tsx,Directed
renderer/controls/FormInput.tsx,util/Debouncer.ts,Directed
renderer/controls/FormInput.tsx,types/ITableAttribute.ts,Directed
renderer/controls/Icon.tsx,util/log.ts,Directed
renderer/controls/Icon.tsx,util/getVortexPath.ts,Directed
renderer/controls/IconBar.tsx,types/IExtensionProvider.ts,Directed
renderer/controls/IconBar.tsx,renderer/controls/Icon.tsx,Directed
renderer/controls/IconBar.tsx,types/IActionDefinition.ts,Directed
renderer/controls/IconBar.tsx,renderer/controls/ToolbarDropdown.tsx,Directed
renderer/controls/IconBar.tsx,util/util.ts,Directed
renderer/controls/InputButton.tsx,util/storeHelper.ts,Directed
renderer/controls/Modal.tsx,util/MutexContext.ts,Directed
renderer/controls/PlaceholderTextArea.tsx,renderer/views/MainWindow.tsx,Directed
renderer/controls/PortalMenu.tsx,renderer/controls/Dropdown.tsx,Directed
renderer/controls/Step.tsx,renderer/controls/Icon.tsx,Directed
renderer/controls/Steps.tsx,renderer/controls/Step.tsx,Directed
renderer/controls/Table.tsx,types/IActionDefinition.ts,Directed
renderer/controls/Table.tsx,types/IState.ts,Directed
renderer/controls/Table.tsx,types/SortDirection.ts,Directed
renderer/controls/Table.tsx,types/IAttributeState.ts,Directed
renderer/controls/Table.tsx,renderer/controls/Usage.tsx,Directed
renderer/controls/Toggle.tsx,renderer/controls/Icon.tsx,Directed
renderer/controls/ToolIcon.tsx,renderer/controls/TooltipControls.tsx,Directed
renderer/controls/ToolIcon.tsx,renderer/controls/Icon.tsx,Directed
renderer/controls/ToolbarIcon.tsx,renderer/controls/Icon.tsx,Directed
renderer/controls/ToolbarIcon.tsx,renderer/controls/TooltipControls.tsx,Directed
renderer/controls/Usage.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/controls/Webview.tsx,util/log.ts,Directed
renderer/controls/api.ts,renderer/controls/ActionContextMenu.tsx,Directed
renderer/controls/api.ts,renderer/controls/Dropzone.tsx,Directed
renderer/controls/api.ts,renderer/controls/DraggableList.tsx,Directed
renderer/controls/api.ts,renderer/controls/FormFeedback.tsx,Directed
renderer/controls/api.ts,renderer/controls/table/OptionsFilter.tsx,Directed
renderer/controls/table/DateTimeFilter.tsx,renderer/controls/TooltipControls.tsx,Directed
renderer/controls/table/GameFilter.tsx,extensions/gamemode_management/constants.ts,Directed
renderer/controls/table/GroupingRow.tsx,renderer/controls/table/MyTable.tsx,Directed
renderer/controls/table/GroupingRow.tsx,renderer/controls/ActionControl.tsx,Directed
renderer/controls/table/HeaderCell.tsx,types/SortDirection.ts,Directed
renderer/controls/table/HeaderCell.tsx,types/IAttributeState.ts,Directed
renderer/controls/table/OptionsFilter.tsx,util/util.ts,Directed
renderer/controls/table/SortIndicator.tsx,types/SortDirection.ts,Directed
renderer/controls/table/TableDetail.tsx,util/i18n.ts,Directed
renderer/controls/table/TableDetail.tsx,renderer/controls/ComponentEx.ts,Directed
renderer/controls/table/TableRow.tsx,renderer/controls/ActionDropdown.tsx,Directed
renderer/controls/table/TableRow.tsx,renderer/controls/ActionContextMenu.tsx,Directed
renderer/controls/bbcode/LinkTag.tsx,renderer/controls/ErrorBoundary.tsx,Directed
renderer/controls/bbcode/MoreTag.tsx,renderer/controls/More.tsx,Directed
renderer/controls/bbcode/SpoilerTag.tsx,util/i18n.ts,Directed
renderer/controls/bbcode/index.ts,renderer/controls/bbcode/HeadingTag.tsx,Directed
renderer/controls/bbcode/index.ts,renderer/controls/bbcode/LinkTag.tsx,Directed
renderer/controls/bbcode/index.ts,renderer/controls/bbcode/BrTag.tsx,Directed
reducers/app.ts,actions/app.ts,Directed
reducers/app.ts,util/storeHelper.ts,Directed
reducers/index.ts,types/Extension.ts,Directed
reducers/index.ts,types/IExtensionContext.ts,Directed
reducers/index.ts,reducers/user.ts,Directed
reducers/index.ts,util/CustomErrors.ts,Directed
reducers/loadOrder.ts,util/storeHelper.ts,Directed
reducers/loadOrder.ts,types/IExtensionContext.ts,Directed
reducers/tables.ts,types/IExtensionContext.ts,Directed
reducers/tables.ts,actions/tables.ts,Directed
reducers/user.ts,actions/user.ts,Directed
reducers/window.ts,actions/window.ts,Directed
reducers/window.ts,types/IExtensionContext.ts,Directed
main/Application.ts,extensions/nexus_integration/constants.ts,Directed
main/Application.ts,util/commandLine.ts,Directed
main/Application.ts,types/IPreset.ts,Directed
main/Application.ts,types/IState.ts,Directed
main/Application.ts,util/fs.ts,Directed
main/Application.ts,util/ExtensionManager.ts,Directed
main/Application.ts,types/IExtensionContext.ts,Directed
main/Application.ts,util/PresetManager.ts,Directed
main/Application.ts,store/reduxSanity.ts,Directed
main/Application.ts,main/MainWindow.ts,Directed
main/Application.ts,main/TrayIcon.ts,Directed
main/MainWindow.ts,types/IExtensionContext.ts,Directed
main/MainWindow.ts,actions/notifications.ts,Directed
main/MainWindow.ts,main/TrayIcon.ts,Directed
main/MainWindow.ts,util/Debouncer.ts,Directed
main/MainWindow.ts,util/getVortexPath.ts,Directed
main/MainWindow.ts,util/storeHelper.ts,Directed
main/TrayIcon.ts,types/api.ts,Directed
extensions/updater/SettingsUpdate.tsx,util/log.ts,Directed
extensions/updater/SettingsUpdate.tsx,extensions/updater/actions.ts,Directed
extensions/updater/SettingsUpdate.tsx,types/IState.ts,Directed
extensions/updater/autoupdater.ts,util/opn.ts,Directed
extensions/updater/autoupdater.ts,extensions/nexus_integration/constants.ts,Directed
extensions/updater/autoupdater.ts,util/api.ts,Directed
extensions/updater/index.ts,types/IExtensionContext.ts,Directed
extensions/updater/index.ts,extensions/updater/autoupdater.ts,Directed
extensions/test_runner/index.ts,actions/notifications.ts,Directed
extensions/test_runner/index.ts,shared/errors.ts,Directed
extensions/tailwind_dev/index.ts,types/IExtensionContext.ts,Directed
extensions/tailwind_dev/views/TailwindPage.tsx,renderer/views/MainPage.tsx,Directed
extensions/symlink_activator_elevate/Settings.tsx,types/IState.ts,Directed
extensions/symlink_activator_elevate/Settings.tsx,actions/notifications.ts,Directed
extensions/symlink_activator_elevate/reducers.ts,types/IExtensionContext.ts,Directed
extensions/symlink_activator_elevate/reducers.ts,extensions/symlink_activator_elevate/actions.ts,Directed
extensions/symlink_activator/index.ts,types/IGame.ts,Directed
extensions/symlink_activator/index.ts,util/selectors.ts,Directed
extensions/symlink_activator/index.ts,extensions/gamemode_management/util/getGame.ts,Directed
extensions/sticky_mods/index.ts,types/IState.ts,Directed
extensions/starter_dashlet/AddToolButton.tsx,renderer/controls/Dropdown.tsx,Directed
extensions/starter_dashlet/AddToolButton.tsx,util/StarterInfo.ts,Directed
extensions/starter_dashlet/BoxWithHandle.tsx,renderer/controls/Icon.tsx,Directed
extensions/starter_dashlet/Environment.tsx,util/i18n.ts,Directed
extensions/starter_dashlet/Tool.tsx,extensions/starter_dashlet/BoxWithHandle.tsx,Directed
extensions/starter_dashlet/ToolEditDialog.tsx,renderer/controls/FormFields.tsx,Directed
extensions/starter_dashlet/ToolEditDialog.tsx,actions/session.ts,Directed
extensions/starter_dashlet/ToolEditDialog.tsx,renderer/controls/Toggle.tsx,Directed
extensions/starter_dashlet/Tools.tsx,actions/notifications.ts,Directed
extensions/starter_dashlet/Tools.tsx,renderer/controls/Dashlet.tsx,Directed
extensions/starter_dashlet/Tools.tsx,types/IDiscoveredTool.ts,Directed
extensions/starter_dashlet/Tools.tsx,renderer/controls/FlexLayout.tsx,Directed
extensions/starter_dashlet/Tools.tsx,extensions/starter_dashlet/types.ts,Directed
extensions/starter_dashlet/Tools.tsx,renderer/views/MainWindow.tsx,Directed
extensions/starter_dashlet/index.ts,util/selectors.ts,Directed
extensions/starter_dashlet/index.ts,types/ITestResult.ts,Directed
extensions/starter_dashlet/index.ts,extensions/starter_dashlet/actions.ts,Directed
extensions/starter_dashlet/reducers.ts,util/storeHelper.ts,Directed
extensions/starter_dashlet/reducers.ts,extensions/starter_dashlet/actions.ts,Directed
extensions/starter_dashlet/util.ts,util/Debouncer.ts,Directed
extensions/starter_dashlet/util.ts,util/fs.ts,Directed
extensions/starter_dashlet/util.ts,util/exeIcon.ts,Directed
extensions/starter_dashlet/util.ts,extensions/starter_dashlet/types.ts,Directed
extensions/settings_metaserver/SettingsMetaserver.tsx,renderer/controls/Icon.tsx,Directed
extensions/settings_metaserver/SettingsMetaserver.tsx,util/log.ts,Directed
extensions/settings_metaserver/SettingsMetaserver.tsx,util/i18n.ts,Directed
extensions/settings_metaserver/SettingsMetaserver.tsx,extensions/settings_metaserver/texts.ts,Directed
extensions/settings_metaserver/SettingsMetaserver.tsx,renderer/controls/More.tsx,Directed
extensions/settings_metaserver/index.ts,extensions/settings_metaserver/reducers.ts,Directed
extensions/settings_metaserver/index.ts,renderer/controls/LazyComponent.tsx,Directed
extensions/settings_metaserver/index.ts,extensions/settings_metaserver/SettingsMetaserver.tsx,Directed
extensions/settings_metaserver/reducers.ts,types/IExtensionContext.ts,Directed
extensions/settings_interface/SettingsInterface.tsx,actions/notifications.ts,Directed
extensions/settings_interface/SettingsInterface.tsx,renderer/controls/More.tsx,Directed
extensions/settings_interface/SettingsInterface.tsx,util/getVortexPath.ts,Directed
extensions/settings_interface/SettingsInterface.tsx,types/IState.ts,Directed
extensions/settings_interface/SettingsInterface.tsx,actions/notificationSettings.ts,Directed
extensions/settings_interface/index.ts,types/IState.ts,Directed
extensions/settings_interface/index.ts,types/IExtensionContext.ts,Directed
extensions/settings_interface/reducers/automation.ts,types/IState.ts,Directed
extensions/settings_interface/reducers/interface.ts,types/IExtensionContext.ts,Directed
extensions/settings_interface/reducers/interface.ts,extensions/settings_interface/actions/interface.ts,Directed
extensions/settings_application/SettingsVortex.tsx,types/IState.ts,Directed
extensions/settings_application/SettingsVortex.tsx,util/commandLine.ts,Directed
extensions/settings_application/SettingsVortex.tsx,actions/user.ts,Directed
extensions/settings_application/index.ts,types/IExtensionContext.ts,Directed
extensions/settings_application/index.ts,extensions/settings_application/SettingsVortex.tsx,Directed
extensions/recovery/Workarounds.tsx,util/relativeTime.ts,Directed
extensions/recovery/index.ts,types/IDialog.ts,Directed
extensions/recovery/index.ts,util/selectors.ts,Directed
extensions/recovery/index.ts,extensions/recovery/Workarounds.tsx,Directed
extensions/recovery/index.ts,types/api.ts,Directed
extensions/recovery/index.ts,extensions/gamemode_management/util/getGame.ts,Directed
extensions/profile_management/index.ts,actions/notifications.ts,Directed
extensions/profile_management/index.ts,types/IPreset.ts,Directed
extensions/profile_management/index.ts,util/getVortexPath.ts,Directed
extensions/profile_management/index.ts,util/message.ts,Directed
extensions/profile_management/index.ts,util/onceCB.ts,Directed
extensions/profile_management/index.ts,util/storeHelper.ts,Directed
extensions/profile_management/index.ts,util/log.ts,Directed
extensions/profile_management/selectors.ts,util/storeHelper.ts,Directed
extensions/profile_management/selectors.ts,types/IState.ts,Directed
extensions/profile_management/views/Connector.tsx,extensions/profile_management/views/Line.tsx,Directed
extensions/profile_management/views/ProfileItem.tsx,renderer/controls/api.ts,Directed
extensions/profile_management/views/ProfileView.tsx,actions/notifications.ts,Directed
extensions/profile_management/views/ProfileView.tsx,extensions/profile_management/actions/profiles.ts,Directed
extensions/profile_management/views/ProfileView.tsx,extensions/profile_management/views/ProfileItem.tsx,Directed
extensions/profile_management/views/TransferDialog.tsx,types/IState.ts,Directed
extensions/profile_management/views/TransferDialog.tsx,renderer/controls/TooltipControls.tsx,Directed
extensions/profile_management/views/TransferIcon.tsx,renderer/controls/TooltipControls.tsx,Directed
extensions/profile_management/util/manage.ts,util/getVortexPath.ts,Directed
extensions/profile_management/reducers/profiles.ts,extensions/profile_management/types/IProfile.ts,Directed
extensions/profile_management/reducers/profiles.ts,types/IExtensionContext.ts,Directed
extensions/profile_management/reducers/transferSetup.ts,types/IExtensionContext.ts,Directed
extensions/profile_management/actions/profiles.ts,actions/safeCreateAction.ts,Directed
extensions/profile_management/actions/profiles.ts,extensions/profile_management/selectors.ts,Directed
extensions/onboarding_dashlet/actions.ts,actions/safeCreateAction.ts,Directed
extensions/onboarding_dashlet/index.ts,util/opn.ts,Directed
extensions/onboarding_dashlet/index.ts,types/IExtensionContext.ts,Directed
extensions/onboarding_dashlet/index.ts,extensions/nexus_integration/util/convertGameId.ts,Directed
extensions/onboarding_dashlet/reducers.ts,extensions/onboarding_dashlet/actions.ts,Directed
extensions/onboarding_dashlet/views/Overlay.tsx,renderer/controls/Icon.tsx,Directed
extensions/null_activator/index.ts,types/IGame.ts,Directed
extensions/nexus_integration/NXMUrl.ts,util/CustomErrors.ts,Directed
extensions/nexus_integration/attributes.tsx,util/storeHelper.ts,Directed
extensions/nexus_integration/attributes.tsx,extensions/nexus_integration/util/guessModID.ts,Directed
extensions/nexus_integration/eventHandlers.ts,types/IState.ts,Directed
extensions/nexus_integration/eventHandlers.ts,util/fs.ts,Directed
extensions/nexus_integration/eventHandlers.ts,extensions/news_dashlet/types.ts,Directed
extensions/nexus_integration/eventHandlers.ts,extensions/gamemode_management/constants.ts,Directed
extensions/nexus_integration/eventHandlers.ts,extensions/nexus_integration/util/submitFeedback.ts,Directed
extensions/nexus_integration/eventHandlers.ts,extensions/nexus_integration/util/oauth.ts,Directed
extensions/nexus_integration/index.tsx,util/application.ts,Directed
extensions/nexus_integration/index.tsx,util/Debouncer.ts,Directed
extensions/nexus_integration/index.tsx,actions/notifications.ts,Directed
extensions/nexus_integration/index.tsx,types/IState.ts,Directed
extensions/nexus_integration/index.tsx,types/IModLookupResult.ts,Directed
extensions/nexus_integration/index.tsx,util/storeHelper.ts,Directed
extensions/nexus_integration/index.tsx,extensions/category_management/types/ICategoryDictionary.ts,Directed
extensions/nexus_integration/index.tsx,extensions/download_management/types/ProtocolHandlers.ts,Directed
extensions/nexus_integration/index.tsx,extensions/nexus_integration/util/retrieveCategories.ts,Directed
extensions/nexus_integration/index.tsx,extensions/nexus_integration/util/checkModsVersion.ts,Directed
extensions/nexus_integration/index.tsx,extensions/download_management/DownloadManager.ts,Directed
extensions/nexus_integration/index.tsx,extensions/nexus_integration/eventHandlers.ts,Directed
extensions/nexus_integration/index.tsx,extensions/nexus_integration/views/Settings.tsx,Directed
extensions/nexus_integration/util.ts,extensions/nexus_integration/util/UIDs.ts,Directed
extensions/nexus_integration/util.ts,types/IExtensionContext.ts,Directed
extensions/nexus_integration/util.ts,util/log.ts,Directed
extensions/nexus_integration/util.ts,util/fs.ts,Directed
extensions/nexus_integration/util.ts,extensions/download_management/DownloadManager.ts,Directed
extensions/nexus_integration/util.ts,extensions/nexus_integration/util/endorseMod.ts,Directed
extensions/nexus_integration/views/DashboardBanner.tsx,util/CustomErrors.ts,Directed
extensions/nexus_integration/views/DashboardBanner.tsx,util/getVortexPath.ts,Directed
extensions/nexus_integration/views/DashboardBanner.tsx,renderer/controls/Image.tsx,Directed
extensions/nexus_integration/views/EndorseModButton.tsx,renderer/controls/Icon.tsx,Directed
extensions/nexus_integration/views/FreeUserDLDialog.tsx,extensions/nexus_integration/constants.ts,Directed
extensions/nexus_integration/views/FreeUserDLDialog.tsx,extensions/nexus_integration/NXMUrl.ts,Directed
extensions/nexus_integration/views/FreeUserDLDialog.tsx,extensions/nexus_integration/util/UIDs.ts,Directed
extensions/nexus_integration/views/FreeUserDLDialog.tsx,extensions/nexus_integration/views/NewFreeDownloadModal.tsx,Directed
extensions/nexus_integration/views/GoPremiumDashlet.tsx,renderer/controls/Dashlet.tsx,Directed
extensions/nexus_integration/views/GoPremiumDashlet.tsx,util/util.ts,Directed
extensions/nexus_integration/views/GoPremiumDashlet.tsx,renderer/controls/FlexLayout.tsx,Directed
extensions/nexus_integration/views/GoPremiumDashlet.tsx,renderer/controls/Image.tsx,Directed
extensions/nexus_integration/views/GoPremiumDashlet.tsx,extensions/nexus_integration/constants.ts,Directed
extensions/nexus_integration/views/LoginDialog.tsx,util/CustomErrors.ts,Directed
extensions/nexus_integration/views/LoginDialog.tsx,extensions/nexus_integration/util/sso.ts,Directed
extensions/nexus_integration/views/LoginDialog.tsx,actions/notifications.ts,Directed
extensions/nexus_integration/views/LoginIcon.tsx,extensions/nexus_integration/types/IValidateKeyData.ts,Directed
extensions/nexus_integration/views/LoginIcon.tsx,extensions/nexus_integration/selectors.ts,Directed
extensions/nexus_integration/views/Settings.tsx,renderer/controls/TooltipControls.tsx,Directed
extensions/nexus_integration/views/Settings.tsx,renderer/controls/Icon.tsx,Directed
extensions/nexus_integration/util/UIDs.ts,extensions/nexus_integration/util/convertGameId.ts,Directed
extensions/nexus_integration/util/checkModsVersion.ts,util/util.ts,Directed
extensions/nexus_integration/util/checkModsVersion.ts,util/log.ts,Directed
extensions/nexus_integration/util/checkModsVersion.ts,types/IExtensionContext.ts,Directed
extensions/nexus_integration/util/chromeAllowScheme.ts,util/storeHelper.ts,Directed
extensions/nexus_integration/util/chromeAllowScheme.ts,util/fs.ts,Directed
extensions/nexus_integration/util/chromePath.ts,util/util.ts,Directed
